"Average Prices and Volumes of Sales","","","","","","","","","",""
"By pcSector for county - GREATER LONDON","","","","","","","","","",""
"2023","","","","","","","","","",""
"Age: any","","","","","","","","","",""
"Report created on: 2024-04-18","","","","","","","","","",""
"","Detached","Sales","Semi-det","Sales","Terraced","Sales","Flat/mais","Sales","Overall average","Total sales"
"DA6 8","660000","8","549917","18","472067","15","266694","18","458644","59"
"DA7 4","550000","2","520406","65","489701","28","280429","21","470060","116"
"DA7 5","537750","2","514342","54","459639","18","323200","5","490373","79"
"DA7 6","600000","6","498900","52","403566","38","248417","18","432893","114"
"DA8 1","473500","3","442288","26","378857","35","232875","32","350333","96"
"DA8 2","468000","1","416500","8","348425","27","238611","9","341222","45"
"DA8 3","596889","9","413370","23","376364","22","209555","9","397548","63"
"E1 0","0","0","0","0","697571","7","387947","19","471308","26"
"E1 1","0","0","0","0","1100000","1","503595","19","533415","20"
"E1 2","0","0","0","0","857500","2","380528","16","433525","18"
"E1 3","0","0","0","0","794780","4","405711","43","438823","47"
"E1 4","0","0","0","0","680875","8","420821","38","466048","46"
"E1 5","0","0","0","0","1750000","2","481123","26","571757","28"
"E1 6","0","0","2850000","1","0","0","933529","26","1004509","27"
"E1 7","0","0","0","0","0","0","608158","19","608158","19"
"E1 8","0","0","0","0","650000","1","590189","41","591613","42"
"E10 5","0","0","637551","3","633446","38","336418","37","492706","78"
"E10 6","0","0","732500","6","703976","41","447968","68","554086","115"
"E10 7","0","0","519667","3","609657","22","354208","31","463427","56"
"E11 1","1359662","2","833917","6","752450","20","412615","54","549427","82"
"E11 2","1465600","5","1234502","28","912248","50","368069","50","796315","133"
"E11 3","1500000","1","1100300","5","713377","50","378532","31","625343","87"
"E11 4","770000","1","615000","1","672784","56","391120","40","558221","98"
"E12 5","925000","2","1096667","3","642422","32","322750","14","592471","51"
"E12 6","0","0","0","0","473899","30","311879","14","422347","44"
"E13 0","0","0","765000","1","466603","31","320025","10","438808","42"
"E13 8","0","0","0","0","418227","29","253182","11","372839","40"
"E13 9","0","0","0","0","440021","34","387821","14","424796","48"
"E14 0","0","0","0","0","748040","5","559227","95","568667","100"
"E14 2","0","0","0","0","0","0","462654","13","462654","13"
"E14 3","0","0","850000","1","702867","15","481024","84","517990","100"
"E14 4","0","0","0","0","0","0","591312","4","591312","4"
"E14 5","0","0","0","0","0","0","580333","6","580333","6"
"E14 6","0","0","675000","1","625000","1","452592","50","460185","52"
"E14 7","0","0","0","0","803464","7","396460","50","446443","57"
"E14 8","0","0","0","0","947000","6","604308","61","634997","67"
"E14 9","0","0","795000","1","811250","4","602439","278","606071","283"
"E15 1","0","0","630375","5","595214","21","449123","76","488085","102"
"E15 2","0","0","565000","1","585833","12","351720","53","397517","66"
"E15 3","0","0","0","0","546955","22","292389","9","473048","31"
"E15 4","0","0","570750","4","515289","40","328312","24","452560","68"
"E16 1","0","0","610000","1","451667","3","401407","94","405074","98"
"E16 2","0","0","0","0","531550","10","476577","98","481667","108"
"E16 3","500000","1","445250","8","402967","15","262000","5","393672","29"
"E16 4","0","0","332500","2","475364","11","312800","5","414333","18"
"E17 3","830000","1","1125000","4","745568","33","401624","56","557710","94"
"E17 4","0","0","713423","13","664738","78","365350","33","590166","124"
"E17 5","502500","2","527250","4","555375","37","453822","75","488979","118"
"E17 6","601667","3","677750","2","632217","72","391203","85","505756","162"
"E17 7","617500","1","807333","3","658652","45","461142","57","556264","106"
"E17 8","675000","1","749000","3","698165","51","369507","47","547993","102"
"E17 9","918667","3","805100","10","801449","59","436566","57","643231","129"
"E18 1","787500","2","710500","16","711141","32","341108","19","611312","69"
"E18 2","1120568","6","1009762","25","683270","21","360544","59","608903","111"
"E1W 1","0","0","0","0","0","0","1101993","24","1101993","24"
"E1W 2","0","0","0","0","837000","5","677757","36","697177","41"
"E1W 3","0","0","0","0","585000","2","621381","50","619981","52"
"E2 0","0","0","0","0","1058332","3","404748","44","446466","47"
"E2 6","0","0","0","0","859722","9","543187","44","596939","53"
"E2 7","0","0","0","0","1154493","15","553522","46","701302","61"
"E2 8","0","0","0","0","800000","1","585576","62","588979","63"
"E2 9","0","0","0","0","876667","3","502411","27","539837","30"
"E20 1","0","0","0","0","1200000","1","557331","32","576806","33"
"E3 2","0","0","0","0","773500","17","423361","133","463043","150"
"E3 3","0","0","0","0","641500","2","387688","83","393660","85"
"E3 4","0","0","625000","1","735357","14","414235","64","473811","79"
"E3 5","0","0","0","0","1050743","34","464726","63","670134","97"
"E4 6","938750","4","661899","39","527859","32","334326","45","512544","120"
"E4 7","1342500","4","716405","37","609937","32","320214","26","603238","99"
"E4 8","430000","1","564220","25","528804","42","258660","25","464642","93"
"E4 9","725600","5","732665","26","602225","83","349634","49","550884","163"
"E5 0","0","0","1250000","1","1076990","48","527453","53","793143","102"
"E5 8","0","0","0","0","1100038","13","520440","67","614625","80"
"E5 9","0","0","0","0","1163615","13","427984","61","557217","74"
"E6 1","0","0","0","0","459939","18","220680","11","369185","29"
"E6 2","420000","1","407000","2","426335","27","270417","6","399099","36"
"E6 3","0","0","0","0","444568","63","330833","3","439398","66"
"E6 5","612500","2","445167","6","429250","18","271692","13","388577","39"
"E6 6","0","0","0","0","434733","18","259000","12","364440","30"
"E7 0","1060500","4","816643","7","702240","48","397108","12","682131","71"
"E7 8","0","0","0","0","464066","38","294312","8","434543","46"
"E7 9","0","0","935000","2","593610","41","325632","19","522500","62"
"E8 1","3000000","1","735000","2","1193333","12","604416","50","754012","65"
"E8 2","0","0","0","0","867412","11","527109","50","588476","61"
"E8 3","0","0","1650000","1","1447235","17","595904","63","787592","81"
"E8 4","1640000","1","2675550","3","1092836","14","521086","32","832822","50"
"E9 5","0","0","662500","1","692444","9","466665","40","511222","50"
"E9 6","0","0","835000","1","1245387","6","470127","40","576860","47"
"E9 7","0","0","1850000","1","1276723","29","628661","40","914591","70"
"EC1A 4","0","0","0","0","0","0","697750","4","697750","4"
"EC1A 7","0","0","0","0","0","0","1145948","14","1145948","14"
"EC1A 9","0","0","0","0","0","0","833333","3","833333","3"
"EC1M 4","0","0","0","0","0","0","570000","1","570000","1"
"EC1M 5","0","0","0","0","0","0","926500","10","926500","10"
"EC1M 6","0","0","0","0","0","0","1365600","5","1365600","5"
"EC1M 7","0","0","0","0","0","0","550000","1","550000","1"
"EC1N 2","0","0","0","0","0","0","1490000","1","1490000","1"
"EC1N 7","0","0","0","0","0","0","461700","5","461700","5"
"EC1N 8","0","0","0","0","0","0","933812","8","933812","8"
"EC1R 0","0","0","0","0","2225000","1","1116000","9","1226900","10"
"EC1R 1","0","0","0","0","0","0","767430","3","767430","3"
"EC1R 3","0","0","0","0","0","0","630000","2","630000","2"
"EC1R 4","0","0","0","0","0","0","960875","4","960875","4"
"EC1R 5","0","0","0","0","0","0","794375","4","794375","4"
"EC1V 0","0","0","0","0","1913500","4","609062","8","1043875","12"
"EC1V 1","0","0","0","0","0","0","773490","26","773490","26"
"EC1V 2","0","0","0","0","0","0","742000","5","742000","5"
"EC1V 3","0","0","0","0","954000","1","643679","17","660919","18"
"EC1V 4","0","0","0","0","415000","1","815525","20","796452","21"
"EC1V 7","0","0","0","0","1075000","2","688500","17","729184","19"
"EC1V 8","0","0","0","0","0","0","778100","5","778100","5"
"EC1V 9","0","0","0","0","0","0","586250","4","586250","4"
"EC1Y 0","0","0","0","0","0","0","572000","6","572000","6"
"EC1Y 2","0","0","0","0","0","0","735000","2","735000","2"
"EC1Y 8","0","0","0","0","0","0","623993","7","623993","7"
"EC2A 2","0","0","0","0","0","0","1489042","23","1489042","23"
"EC2A 3","0","0","0","0","0","0","1127750","4","1127750","4"
"EC2A 4","0","0","0","0","0","0","879625","8","879625","8"
"EC2M 1","0","0","0","0","0","0","720000","1","720000","1"
"EC2Y 5","0","0","0","0","0","0","1390000","2","1390000","2"
"EC2Y 8","0","0","0","0","2125068","2","1066841","58","1102115","60"
"EC2Y 9","0","0","0","0","0","0","852600","5","852600","5"
"EC3A 7","0","0","0","0","0","0","2852000","1","2852000","1"
"EC3N 1","0","0","0","0","0","0","720000","1","720000","1"
"EC4A 1","0","0","0","0","0","0","749917","6","749917","6"
"EC4M 7","0","0","0","0","0","0","613865","3","613865","3"
"EC4V 3","0","0","0","0","0","0","988833","6","988833","6"
"EC4V 5","0","0","0","0","0","0","1200000","1","1200000","1"
"EC4Y 0","0","0","0","0","0","0","1060000","4","1060000","4"
"EN1 1","0","0","563000","15","494716","44","300442","23","452715","82"
"EN1 2","651250","4","721043","23","612167","24","328426","27","548058","78"
"EN1 3","0","0","601465","24","520971","35","316500","14","508221","73"
"EN1 4","760000","1","454000","7","449693","39","252079","19","397962","66"
"EN2 0","793000","4","600357","14","522583","42","292327","22","487277","82"
"EN2 6","750000","1","757062","8","528258","14","329167","6","557832","29"
"EN2 7","946350","10","698114","22","621667","15","402281","24","616926","71"
"EN2 8","988625","8","604164","17","570273","11","364038","26","547061","62"
"EN2 9","732333","3","973750","2","602500","2","636333","3","725850","10"
"EN3 4","0","0","392667","3","415598","23","221933","9","363833","35"
"EN3 5","432500","2","457643","7","423712","40","240192","13","389347","62"
"EN3 6","558000","4","463217","23","426590","39","250569","36","377877","102"
"EN3 7","0","0","397857","7","419904","21","243846","13","360317","41"
"EN4 0","1663105","10","910333","12","0","0","749050","12","1074813","34"
"EN4 8","777800","5","638166","21","625115","26","318351","20","554313","72"
"EN4 9","929250","10","744000","13","573700","10","400357","14","644819","47"
"EN5 1","1450714","7","746133","27","760000","3","373708","24","681141","61"
"EN5 2","911667","3","735899","24","601743","23","412937","16","618843","66"
"EN5 3","2030000","4","620000","2","477667","3","477125","4","977038","13"
"EN5 4","921667","9","804467","15","657130","27","341525","20","632887","71"
"EN5 5","810667","6","834278","18","541455","11","336581","31","549561","66"
"EN8 8","0","0","474500","5","370000","2","220000","1","416562","8"
"HA0 1","0","0","467833","6","483647","17","406905","64","426103","87"
"HA0 2","780000","1","636000","5","520769","13","302600","20","430308","39"
"HA0 3","765000","2","697208","24","632500","8","253278","9","595407","43"
"HA0 4","625000","1","586786","14","588917","12","334038","13","506237","40"
"HA1 1","752333","3","610375","12","643333","3","358284","22","484844","40"
"HA1 2","1060000","1","718955","11","570000","2","357269","41","450119","55"
"HA1 3","1531923","13","798000","5","751800","5","382605","31","731940","54"
"HA1 4","895000","3","613957","23","530860","25","321083","31","488184","82"
"HA2 0","662500","2","590103","12","511333","15","348801","22","465684","51"
"HA2 6","928000","1","667476","23","636304","13","297125","12","573824","49"
"HA2 7","706857","7","709580","25","647333","6","323375","8","633880","46"
"HA2 8","540000","1","519978","23","483236","22","259920","28","410925","74"
"HA2 9","545000","1","605605","19","544052","42","299312","8","532803","70"
"HA3 0","828437","8","777960","25","828750","4","228600","15","631163","52"
"HA3 5","0","0","489000","11","436714","7","315594","16","396632","34"
"HA3 6","997778","9","582538","13","531200","5","372850","7","641734","34"
"HA3 7","683750","4","570400","15","509875","18","297778","9","503234","46"
"HA3 8","0","0","675813","27","533333","6","268750","4","608701","37"
"HA3 9","0","0","635769","13","531600","20","413333","3","559361","36"
"HA4 0","700000","4","572334","22","527265","42","322321","12","517554","80"
"HA4 6","569375","12","583907","27","566304","28","276150","20","505489","87"
"HA4 7","833600","29","692516","31","442529","17","343400","25","605396","102"
"HA4 8","976312","23","739103","26","611875","8","337141","23","679014","80"
"HA4 9","810000","5","632997","43","539877","32","339893","14","567058","94"
"HA5 1","1105746","14","802328","29","748318","11","494202","12","801665","66"
"HA5 2","910129","31","704128","23","515505","20","356225","20","657910","94"
"HA5 3","1228927","41","910636","22","668750","4","412052","23","917469","90"
"HA5 4","1183722","18","823143","21","425000","1","321261","29","700501","69"
"HA5 5","811533","9","800517","30","575875","8","399237","11","695136","58"
"HA6 1","903632","19","727379","26","545889","9","281891","16","650058","70"
"HA6 2","1555763","19","738750","4","585000","3","475444","18","973352","44"
