"Average Prices and Volumes of Sales","","","","","","","","","",""
"By pcSector for county - GREATER LONDON","","","","","","","","","",""
"2011","","","","","","","","","",""
"Age: any","","","","","","","","","",""
"Report created on: 2024-04-18","","","","","","","","","",""
"","Detached","Sales","Semi-det","Sales","Terraced","Sales","Flat/mais","Sales","Overall average","Total sales"
"BR1 1","0","0","259500","2","251875","4","182045","10","209184","16"
"BR1 2","816603","65","431960","26","285158","38","281846","36","516925","165"
"BR1 3","763396","24","391965","31","300547","57","191337","127","300851","239"
"BR1 4","530507","20","336182","30","234583","63","169571","28","285265","141"
"BR1 5","483250","5","265082","42","196040","86","136875","12","221046","145"
"BR2 0","584392","29","399382","47","287738","41","224406","143","306176","260"
"BR2 6","1170776","29","555000","2","271247","2","826444","9","1024833","42"
"BR2 7","551133","15","361517","78","246226","19","262681","11","357993","123"
"BR2 8","517990","21","310551","66","261916","25","178909","11","324309","123"
"BR2 9","527742","20","333016","64","278620","100","182435","53","292822","237"
"BR3 1","735000","2","477565","31","343565","23","206890","94","290828","150"
"BR3 3","918870","23","438005","31","340050","70","251714","14","449563","138"
"BR3 4","541750","4","382732","49","291967","86","177150","74","277649","213"
"BR3 5","670400","20","416571","7","472611","18","223950","111","318522","156"
"BR3 6","639904","37","425500","7","434458","13","248984","38","439624","95"
"BR4 0","510778","18","397105","52","323419","32","168370","26","348207","128"
"BR4 9","476085","23","366882","83","292500","6","170653","22","350079","134"
"BR5 1","574010","54","393771","103","260917","15","190161","9","426410","181"
"BR5 2","330310","10","225621","61","198652","23","120045","11","218624","105"
"BR5 3","265000","3","191235","34","171948","30","120083","12","175904","79"
"BR5 4","421611","9","227450","61","180269","24","129365","13","221282","107"
"BR6 0","504444","27","306089","33","218241","27","170290","20","308591","107"
"BR6 6","646250","34","337752","22","245328","16","196300","5","445582","77"
"BR6 7","520892","34","327116","34","309958","24","191714","7","379932","99"
"BR6 8","647885","39","312968","29","239033","15","177033","15","414128","98"
"BR6 9","413805","41","291754","93","254700","30","177762","17","302553","181"
"BR7 5","768743","50","508842","19","470688","40","204744","32","521166","141"
"BR7 6","865685","27","309188","41","280198","48","359677","31","412583","147"
"BR8 7","0","0","0","0","170000","1","0","0","170000","1"
"CR0 0","400000","1","196555","40","171814","19","135125","8","185407","68"
"CR0 1","360000","1","300423","13","200601","38","168701","50","199249","102"
"CR0 2","323500","6","202250","14","191345","50","155216","113","174203","183"
"CR0 3","308437","2","202385","13","191650","75","134905","21","184276","111"
"CR0 4","329890","5","260916","43","199690","54","164054","84","201251","186"
"CR0 5","626259","27","312550","16","278471","29","193414","65","310638","137"
"CR0 6","398400","5","254047","31","224676","117","167753","73","214162","226"
"CR0 7","347294","22","293400","40","264076","54","203644","32","271305","148"
"CR0 8","374735","17","330531","52","244127","20","171120","25","287006","114"
"CR0 9","583000","1","256111","9","187866","44","143926","60","173593","114"
"CR2 0","508689","53","367328","27","244324","23","159771","24","364821","127"
"CR2 6","458500","10","275582","31","224935","54","157631","80","216486","175"
"CR2 7","486889","29","321707","29","201667","9","169539","51","287380","118"
"CR2 8","486714","7","301297","48","242020","30","177781","16","276974","101"
"CR2 9","400138","25","292375","32","280367","15","203500","5","319253","77"
"CR3 0","355250","4","258125","4","0","0","0","0","306687","8"
"CR3 5","214300","1","0","0","0","0","0","0","214300","1"
"CR4 1","0","0","246231","16","216619","77","139320","20","207131","113"
"CR4 2","0","0","253600","5","238706","59","165876","33","214697","97"
"CR4 3","289500","4","217583","12","226521","67","144286","44","199169","127"
"CR4 4","211500","2","234044","12","208075","26","135980","33","179847","73"
"CR5 1","374638","29","298693","50","247440","21","150769","13","291641","113"
"CR5 2","462481","29","313058","28","207316","25","158385","13","309679","95"
"CR5 3","586667","12","278496","23","233620","27","184000","1","316463","63"
"CR6 9","0","0","323667","3","0","0","0","0","323667","3"
"CR7 6","409950","1","248750","4","230286","47","143250","21","208721","73"
"CR7 7","0","0","284619","8","208287","67","139119","21","199517","96"
"CR7 8","335000","1","238724","29","210576","73","138161","31","200844","134"
"CR8 1","468455","22","306500","25","314333","3","161300","5","358509","55"
"CR8 2","481126","35","327125","20","233475","30","190650","66","284563","151"
"CR8 3","1118029","35","536177","11","350000","1","179333","3","918339","50"
"CR8 4","480629","21","295655","22","231389","18","171750","10","316621","71"
"CR8 5","489718","39","274295","22","227875","12","160083","9","357424","82"
"DA1 3","338750","4","202042","12","193577","13","135500","3","209453","32"
"DA1 4","214163","3","197311","33","170703","48","137776","27","171779","111"
"DA14 4","464757","10","308155","61","253000","27","154096","46","259476","144"
"DA14 5","397499","6","241360","10","210562","16","183500","4","247266","36"
"DA14 6","507500","4","258333","18","223880","23","159029","57","204842","102"
"DA15 7","515786","7","343419","22","245167","12","139640","25","266647","66"
"DA15 8","408094","16","271013","78","213194","78","152535","14","249641","186"
"DA15 9","421250","4","321918","44","217792","51","137541","11","258816","110"
"DA16 1","280000","1","226240","92","222850","27","127222","9","219039","129"
"DA16 2","227917","6","252671","86","221472","53","161200","5","237608","150"
"DA16 3","284000","2","240166","57","195608","23","135950","32","202692","114"
"DA17 5","259020","3","212365","30","176943","56","122081","38","170834","127"
"DA17 6","268333","3","230136","21","173912","26","129197","19","182816","69"
"DA18 4","0","0","0","0","106556","9","65125","4","93808","13"
"DA5 1","405028","18","268270","37","246731","13","186808","13","282129","81"
"DA5 2","444585","17","338800","5","293167","3","265583","6","378224","31"
"DA5 3","408038","13","323074","59","232359","32","186750","6","299290","110"
"DA6 7","464362","4","271133","15","200000","5","155000","15","237165","39"
