"Average Prices and Volumes of Sales","","","","","","","","","",""
"By pcSector for county - GREATER LONDON","","","","","","","","","",""
"2022","","","","","","","","","",""
"Age: any","","","","","","","","","",""
"Report created on: 2024-04-18","","","","","","","","","",""
"","Detached","Sales","Semi-det","Sales","Terraced","Sales","Flat/mais","Sales","Overall average","Total sales"
"BR1 1","1030000","1","0","0","0","0","299652","23","330083","24"
"BR1 2","1385946","56","835039","27","581912","40","456039","42","864177","165"
"BR1 3","1362852","20","807244","29","512852","52","347415","134","527187","235"
"BR1 4","921300","15","630436","29","462898","88","314648","61","476843","193"
"BR1 5","575000","2","549565","44","425933","108","289071","7","455622","161"
"BR2 0","985333","24","783216","40","574160","34","351284","131","526272","229"
"BR2 6","1548100","20","682500","4","559083","6","682000","5","1155900","35"
"BR2 7","916083","12","744530","67","626611","18","375208","12","703284","109"
"BR2 8","867416","15","609674","63","500380","32","316625","8","592931","118"
"BR2 9","1015773","22","623066","39","543377","69","331258","83","524103","213"
"BR3 1","1417667","6","944645","29","707717","23","353249","100","553817","158"
"BR3 3","1131071","28","775100","57","657612","85","377767","15","742779","185"
"BR3 4","765833","6","707889","52","599927","104","316518","90","524937","252"
"BR3 5","1662222","9","676300","6","695582","11","379082","113","500039","139"
"BR3 6","1249481","41","769383","6","716154","13","422800","44","805367","104"
"BR4 0","890930","17","754746","41","613326","35","270458","12","674308","105"
"BR4 9","861075","20","710868","83","549250","4","255957","23","648519","130"
"BR5 1","996862","40","753423","83","498458","12","353835","37","706291","172"
"BR5 2","711687","16","472119","68","392183","30","263667","24","446265","138"
"BR5 3","680833","6","403795","22","352950","50","228686","17","363196","95"
"BR5 4","575833","9","469415","57","387336","28","217767","12","428281","106"
"BR6 0","959505","36","591875","48","441890","43","361310","66","548186","193"
"BR6 6","827105","38","587114","35","495667","21","294100","10","628163","104"
"BR6 7","927252","33","588939","33","470000","27","310857","21","607476","114"
"BR6 8","1883438","43","706425","30","488592","12","320000","19","1097343","104"
"BR6 9","725785","44","614617","123","497517","35","306789","19","591740","221"
"BR7 5","1415660","50","799769","13","656569","39","429906","53","835943","155"
"BR7 6","1139993","41","663689","45","563351","42","397481","27","716119","155"
"BR8 7","1000000","1","0","0","0","0","0","0","1000000","1"
"CR0 0","0","0","412383","56","386655","29","297000","5","397683","90"
"CR0 1","517783","2","483768","14","410179","34","292874","83","346338","133"
"CR0 2","350000","1","451696","14","394464","52","266244","140","311401","207"
"CR0 3","483750","4","425364","11","385297","86","241278","18","370525","119"
"CR0 4","533750","8","499736","58","417347","56","258677","55","400301","177"
"CR0 5","1078338","37","652978","12","523103","29","328166","85","557045","163"
"CR0 6","556000","5","493353","34","454017","114","281869","100","393276","253"
"CR0 7","741150","20","553037","52","527038","50","338893","42","513209","164"
"CR0 8","643923","13","619739","68","502619","21","276920","25","535364","127"
"CR0 9","518333","3","431750","8","384051","58","239314","52","328333","121"
"CR2 0","912783","53","683276","40","445602","24","319792","50","613129","167"
"CR2 6","772889","9","490298","31","434365","52","283007","100","380432","192"
"CR2 7","777453","17","649983","30","470389","18","304610","93","439949","158"
"CR2 8","668417","12","555304","69","441913","34","329353","17","507281","132"
"CR2 9","774700","20","587782","44","451000","7","329682","11","587072","82"
"CR3 0","638750","2","605667","6","0","0","0","0","613937","8"
"CR3 5","0","0","547500","1","0","0","0","0","547500","1"
"CR4 1","555000","1","481267","15","465821","69","291981","39","413733","124"
"CR4 2","475000","1","601667","3","523381","61","378147","57","457054","122"
"CR4 3","670000","1","512000","9","495068","55","275976","61","391598","126"
"CR4 4","492500","2","549045","11","446814","42","254074","34","386845","89"
"CR5 1","633051","29","555198","66","503722","18","298811","16","533717","129"
"CR5 2","767811","44","641243","37","466088","17","341455","44","566600","142"
"CR5 3","945400","20","566449","39","461865","25","441194","18","593016","102"
"CR6 9","0","0","590000","1","583500","5","0","0","584583","6"
"CR7 6","615000","1","480167","6","456232","34","246182","11","417613","52"
"CR7 7","495000","1","482333","3","433667","87","271500","25","400504","116"
"CR7 8","472333","3","467169","21","464823","68","287547","57","397488","149"
"CR8 1","783162","34","635453","22","610714","7","326859","16","634332","79"
"CR8 2","863235","17","615205","22","467404","24","357503","102","459955","165"
"CR8 3","1211446","37","902500","9","0","0","431371","35","840049","81"
"CR8 4","855700","20","613883","30","457429","7","330734","32","554112","89"
"CR8 5","948986","45","557389","27","480897","29","312445","32","614272","133"
"DA1 3","509000","5","415200","10","397071","14","219250","10","370474","39"
"DA1 4","0","0","424379","39","378592","27","229974","39","340398","105"
"DA14 4","878105","19","573859","49","521500","20","291858","76","472038","164"
"DA14 5","800000","2","468556","18","400542","12","251273","22","377194","54"
"DA14 6","892250","4","555643","14","466492","13","300841","92","366583","123"
"DA15 7","890625","8","633718","29","467975","20","276410","39","475441","96"
"DA15 8","682578","32","545447","83","450624","103","340985","17","507769","235"
"DA15 9","537083","6","631778","45","443684","66","259222","9","502132","126"
"DA16 1","857500","2","467758","84","435460","37","226625","14","440083","137"
"DA16 2","641200","5","501372","82","457625","60","269722","9","475663","156"
"DA16 3","444000","4","475040","56","425122","23","235973","37","390725","120"
"DA17 5","439357","7","428178","29","366735","54","235898","32","351190","122"
"DA17 6","437750","2","433538","27","385829","41","221437","32","347902","102"
"DA18 4","0","0","0","0","316873","11","202500","4","286373","15"
"DA5 1","733396","24","578244","43","501412","17","296712","33","519500","117"
"DA5 2","758750","6","550000","1","0","0","332875","4","584909","11"
"DA5 3","757714","14","585903","39","482576","51","323500","6","545551","110"
"DA6 7","697083","6","551091","22","488815","17","308461","64","406953","109"
