"Average Prices and Volumes of Sales","","","","","","","","","",""
"By pcSector for county - GREATER LONDON","","","","","","","","","",""
"2019","","","","","","","","","",""
"Age: any","","","","","","","","","",""
"Report created on: 2024-04-18","","","","","","","","","",""
"","Detached","Sales","Semi-det","Sales","Terraced","Sales","Flat/mais","Sales","Overall average","Total sales"
"BR1 1","0","0","221000","1","300000","1","294426","21","291476","23"
"BR1 2","987903","59","596300","35","501136","33","378691","30","681879","157"
"BR1 3","999060","12","629654","26","496768","55","338610","109","458369","202"
"BR1 4","677300","10","565671","34","370906","80","291038","39","411219","163"
"BR1 5","558167","3","465810","25","343291","103","234045","11","360938","142"
"BR2 0","956812","26","609544","41","496171","35","330138","110","488442","212"
"BR2 6","1127740","25","575500","5","472000","3","436667","9","867071","42"
"BR2 7","820620","25","590412","62","416250","8","251375","8","606428","103"
"BR2 8","733403","31","512778","60","404461","38","220262","16","499282","145"
"BR2 9","678433","15","515419","44","444029","72","343124","131","418986","262"
"BR3 1","1087769","13","782752","29","572040","25","318308","84","515760","151"
"BR3 3","1104833","12","639164","37","527165","72","576818","11","615212","132"
"BR3 4","861714","7","600370","40","519585","88","320507","71","478283","206"
"BR3 5","1065550","10","871500","6","627071","14","376801","108","473609","138"
"BR3 6","978761","23","679583","6","591667","9","429434","38","634638","76"
"BR4 0","753321","14","597786","49","505395","43","246750","11","549438","117"
"BR4 9","753817","21","593320","82","487000","5","198798","25","540507","133"
"BR5 1","786113","42","612003","97","451433","15","306457","26","595113","180"
"BR5 2","529353","17","375508","65","330106","61","231500","25","353161","168"
"BR5 3","572500","4","334165","46","331558","52","196463","19","319301","121"
"BR5 4","482250","8","363688","77","303363","33","207020","25","329010","143"
"BR6 0","781892","30","524064","42","365666","29","302588","39","484805","140"
"BR6 6","791860","24","478318","33","418583","12","238600","5","554124","74"
"BR6 7","756431","40","526406","32","477583","35","318000","31","533881","138"
"BR6 8","833667","39","539069","34","383878","20","265300","10","593902","103"
"BR6 9","576119","37","507729","111","412499","34","249583","12","488115","194"
"BR7 5","1075280","50","767550","10","667228","25","446597","56","731416","141"
"BR7 6","1022008","44","545978","47","441552","53","390212","26","612806","170"
"CR0 0","375000","1","327827","41","312054","27","214714","7","312426","76"
"CR0 1","350000","1","431773","11","377431","20","330012","141","342079","173"
"CR0 2","490000","2","371850","10","333085","49","259142","111","289444","172"
"CR0 3","420000","1","367605","19","330445","71","326802","81","333355","172"
"CR0 4","450625","4","423170","44","345508","55","248585","77","325367","180"
"CR0 5","938742","25","484950","15","474672","32","303789","55","493234","127"
"CR0 6","601875","4","408248","26","399569","113","271715","76","359925","219"
"CR0 7","563553","23","469666","46","432490","53","332624","51","430359","173"
"CR0 8","541125","12","521945","66","406397","29","289210","30","448202","137"
"CR0 9","638500","1","385889","9","324065","54","228482","53","288210","117"
"CR2 0","659113","53","564167","30","403136","22","269000","16","537446","121"
"CR2 6","623889","9","471224","19","381499","39","251241","75","340069","142"
"CR2 7","751262","21","523522","23","408633","15","293601","71","421482","130"
"CR2 8","585632","19","451360","57","381317","30","419440","43","445167","149"
"CR2 9","630952","26","489912","40","472917","12","297500","6","517396","84"
"CR3 0","468333","3","530000","7","577500","1","266500","2","478885","13"
"CR3 5","0","0","461250","2","0","0","0","0","461250","2"
"CR4 1","497500","1","422500","13","398436","78","262145","31","367435","123"
"CR4 2","500000","1","472857","7","452985","62","307052","29","412117","99"
"CR4 3","0","0","467083","6","428178","66","250190","55","352935","127"
"CR4 4","550000","2","381429","7","376380","25","240330","44","304538","78"
"CR5 1","577007","37","457838","52","367213","15","239003","15","455883","119"
"CR5 2","641921","44","508928","43","354571","24","246658","19","487113","130"
"CR5 3","672780","76","543997","118","405063","26","295250","12","557748","232"
"CR6 9","450000","1","495333","3","0","0","0","0","484000","4"
"CR7 6","0","0","462125","8","389389","29","212962","13","355155","50"
"CR7 7","375000","1","366667","6","369056","82","244420","50","324163","139"
"CR7 8","525000","2","452139","27","395320","50","266216","48","360647","127"
"CR8 1","654947","19","557528","22","484333","6","269167","9","536395","56"
"CR8 2","740025","20","563391","23","404013","26","309348","42","461761","111"
"CR8 3","1007050","30","591091","11","0","0","389308","39","648706","80"
"CR8 4","741755","20","503891","23","367556","9","280604","24","479830","76"
"CR8 5","729825","28","425037","20","363375","16","252932","22","468771","86"
"CW8 1","175000","1","0","0","0","0","0","0","175000","1"
"DA1 3","547083","6","380875","4","355050","18","208000","5","370815","33"
"DA1 4","477375","4","349185","52","310667","54","217255","48","299186","158"
"DA14 4","686692","13","492704","52","392173","26","284945","64","406326","155"
"DA14 5","641249","4","406643","14","311118","17","203333","3","372552","38"
"DA14 6","632643","7","426146","25","418167","12","253658","66","334924","110"
"DA15 7","770000","3","551929","28","397333","12","251207","36","399689","79"
"DA15 8","659808","13","447059","95","374539","114","273519","27","406147","249"
"DA15 9","646000","7","519435","46","359214","70","249404","20","409434","143"
"DA16 1","0","0","395187","107","381562","32","214437","8","382384","147"
"DA16 2","479000","3","425436","78","374139","61","232633","8","395364","150"
"DA16 3","422000","1","396685","51","360125","20","209348","23","343899","95"
"DA17 5","473900","6","348724","29","317245","54","208759","29","306285","118"
"DA17 6","426667","3","366238","21","327200","25","222632","30","301645","79"
"DA18 4","0","0","0","0","308708","12","195000","1","299962","13"
"DA5 1","711810","21","484298","52","419244","16","259472","27","464182","116"
"DA5 2","787023","11","485800","5","349750","2","270000","1","634513","19"
"DA5 3","609750","18","516821","56","413967","43","287500","4","486513","121"
"DA6 7","792500","2","441100","20","368437","8","246276","25","354753","55"
