"Average Prices and Volumes of Sales","","","","","","","","","",""
"By pcSector for county - GREATER LONDON","","","","","","","","","",""
"2012","","","","","","","","","",""
"Age: any","","","","","","","","","",""
"Report created on: 2024-04-18","","","","","","","","","",""
"","Detached","Sales","Semi-det","Sales","Terraced","Sales","Flat/mais","Sales","Overall average","Total sales"
"B74 2","482500","1","0","0","0","0","0","0","482500","1"
"BR1 1","0","0","350000","1","322500","2","213100","15","232861","18"
"BR1 2","686033","70","387850","27","302772","50","233997","33","451971","180"
"BR1 3","782833","18","420565","31","299773","71","211000","118","308026","238"
"BR1 4","471182","11","397492","43","222569","80","187143","50","268684","184"
"BR1 5","490000","2","270699","35","202078","89","152900","5","222930","131"
"BR2 0","603574","33","417371","31","292767","41","222807","118","319063","223"
"BR2 6","1014628","27","412000","5","279333","3","458333","6","805926","41"
"BR2 7","512430","18","389849","75","290375","12","195590","10","381764","115"
"BR2 8","510743","18","313447","51","260833","33","150825","8","318121","110"
"BR2 9","549050","29","345974","54","310110","135","210425","154","292676","372"
"BR3 1","686800","10","516979","40","371635","36","220312","133","320673","219"
"BR3 3","806571","21","407606","33","352246","87","323616","20","419297","161"
"BR3 4","585570","5","399591","40","306670","115","185987","81","287317","241"
"BR3 5","716417","12","467000","4","536653","29","228548","125","321156","170"
"BR3 6","794250","20","450565","8","441000","5","262424","48","423344","81"
"BR4 0","538428","16","427014","49","340103","29","191288","19","380850","113"
"BR4 9","583750","14","390669","94","315500","5","192275","18","381175","131"
"BR5 1","638807","41","410091","114","264630","15","185054","20","424274","190"
"BR5 2","290964","15","223533","72","189062","36","131417","12","213645","135"
"BR5 3","423600","5","211322","46","169669","44","127786","14","193516","109"
"BR5 4","317682","11","236377","60","207791","64","143444","9","224075","144"
"BR6 0","505367","30","288528","43","230740","23","170500","21","311583","117"
"BR6 6","550453","43","322914","29","248433","21","162067","15","376686","108"
"BR6 7","528518","28","336192","26","319139","18","193769","13","374153","85"
"BR6 8","651941","35","347181","30","247765","17","168750","12","419898","94"
"BR6 9","374658","38","309039","122","256776","29","181333","12","306280","201"
"BR7 5","796135","78","452329","23","532700","42","284217","51","563766","194"
"BR7 6","683792","36","307238","43","298081","54","246677","32","374653","165"
"CR0 0","0","0","197930","51","180722","27","133583","12","184188","90"
"CR0 1","250000","1","236320","15","209884","37","175933","61","195548","114"
"CR0 2","500000","1","189000","4","199782","52","157792","101","174567","158"
"CR0 3","0","0","204353","17","183542","69","125015","12","179986","98"
"CR0 4","346158","6","245969","43","210817","64","135511","39","206782","152"
"CR0 5","645362","24","368769","13","273636","33","190762","87","292414","157"
"CR0 6","459167","3","263860","40","233681","105","159487","78","216409","226"
"CR0 7","408315","27","302795","41","259284","58","182152","23","286356","149"
"CR0 8","412881","21","340267","58","227211","19","171563","27","298842","125"
"CR0 9","429167","3","311692","13","199067","48","157897","40","203948","104"
"CR2 0","497826","58","360836","40","247270","28","174015","27","359015","153"
"CR2 6","406324","17","279310","24","236831","37","173434","63","236171","141"
"CR2 7","484896","24","337409","34","212787","19","170714","65","269357","142"
"CR2 8","395167","12","301684","55","239060","25","211917","12","287059","104"
"CR2 9","439109","27","327937","54","244085","10","205900","5","344114","96"
"CR3 0","303167","3","301250","4","0","0","0","0","302071","7"
"CR4 1","250000","1","247897","15","230417","81","191898","103","211989","200"
"CR4 2","315400","5","259490","10","256849","55","174993","44","228055","114"
"CR4 3","0","0","265812","8","230917","75","151609","66","197661","149"
"CR4 4","313417","3","264850","5","236089","32","154497","32","205045","72"
"CR5 1","403053","38","307133","47","254321","14","154586","11","318293","110"
"CR5 2","461891","37","327177","31","215479","24","139111","9","333227","101"
"CR5 3","650278","9","305355","33","263030","22","184000","2","334604","66"
"CR6 9","360000","1","290250","2","0","0","0","0","313500","3"
"CR7 6","400000","1","277500","1","248462","26","128278","9","224108","37"
"CR7 7","0","0","251050","10","219637","81","144573","26","205641","117"
"CR7 8","283500","2","277750","26","215002","58","142485","34","209193","120"
"CR8 1","440795","40","342962","13","328625","4","162393","7","383462","64"
"CR8 2","508672","23","303773","28","256572","20","189209","43","293619","114"
"CR8 3","720230","38","554583","6","0","0","214250","8","623274","52"
"CR8 4","493400","25","330104","24","249900","10","168969","16","339467","75"
"CR8 5","476749","38","308453","23","237974","19","193452","21","334603","101"
"DA1 3","367300","5","203636","11","199631","19","104800","5","209837","40"
"DA1 4","0","0","200683","42","202696","65","152192","142","173555","249"
"DA14 4","502227","11","308298","62","250928","21","175309","87","249505","181"
"DA14 5","536750","4","258333","15","186485","14","119375","4","246224","37"
"DA14 6","440000","2","315913","29","232833","18","165341","59","222107","108"
"DA15 7","554200","15","333808","26","265800","15","178022","46","285961","102"
"DA15 8","371705","22","279827","80","222967","89","154161","14","256419","205"
"DA15 9","366000","3","318867","40","228131","49","153499","5","265965","97"
"DA16 1","293750","2","233903","88","229686","35","138250","8","227940","133"
"DA16 2","272409","11","259721","104","223024","61","155591","11","242372","187"
"DA16 3","341750","4","238188","45","202441","17","124535","28","202276","94"
"DA17 5","308666","6","215100","20","178141","51","127736","37","175135","114"
"DA17 6","241000","5","214587","26","174286","28","129889","91","156561","150"
"DA18 4","0","0","0","0","149000","9","81750","4","128308","13"
"DA5 1","462580","20","305658","38","243176","37","209098","29","289741","124"
"DA5 2","502100","10","274375","4","296000","2","0","0","419406","16"
"DA5 3","440423","13","310633","36","241822","46","152500","3","290710","98"
"DA6 7","409187","8","242031","16","285346","13","159281","16","252905","53"
"DA6 8","335125","8","290988","31","243136","11","153172","26","241561","76"
