postcode,detached_2018,semi-det_2018,terraced_2018,Flat/mais_2018,average_2018,detached_2019,semi-det_2019,terraced_2019,Flat/mais_2019,average_2019,detached_2009,semi-det_2009,terraced_2009,Flat/mais_2009,average_2009,detached_2021,semi-det_2021,terraced_2021,Flat/mais_2021,average_2021,detached_2020,semi-det_2020,terraced_2020,Flat/mais_2020,average_2020,detached_2008,semi-det_2008,terraced_2008,Flat/mais_2008,average_2008,detached_2022,semi-det_2022,terraced_2022,Flat/mais_2022,average_2022,detached_2023,semi-det_2023,terraced_2023,Flat/mais_2023,average_2023,detached_2012,semi-det_2012,terraced_2012,Flat/mais_2012,average_2012,detached_2007,semi-det_2007,terraced_2007,Flat/mais_2007,average_2007,detached_2013,semi-det_2013,terraced_2013,Flat/mais_2013,average_2013,detached_2011,semi-det_2011,terraced_2011,Flat/mais_2011,average_2011,detached_2010,semi-det_2010,terraced_2010,Flat/mais_2010,average_2010,detached_2014,semi-det_2014,terraced_2014,Flat/mais_2014,average_2014,detached_2015,semi-det_2015,terraced_2015,Flat/mais_2015,average_2015,detached_2017,semi-det_2017,terraced_2017,Flat/mais_2017,average_2017,detached_2016,semi-det_2016,terraced_2016,Flat/mais_2016,average_2016
BR1 1,0,450000,465000,295808,307357,0,221000,300000,294426,291476,518750,0,202500,168000,245050,0,415000,0,283841,294771,0,300000,487000,233000,323250,360000,348750,328999,214058,257103,1030000,0,0,299652,330083,780000,0,0,298432,319370,0,350000,322500,213100,232861,1272500,269950,344498,194045,266590,372500,0,241528,188150,214674,0,259500,251875,182045,209184,0,250000,327500,185879,238429,0,387000,335747,218066,235980,0,585000,0,298651,300924,0,0,439167,309829,318452,631000,482500,393500,334878,347531
BR1 2,1090677,638707,478136,391204,723402,987903,596300,501136,378691,681879,718098,405484,273271,261543,474033,1258220,703622,489083,421679,833731,1110967,655446,493155,332902,682200,808542,412060,297366,257150,559337,1385946,835039,581912,456039,864177,1337573,693906,561000,534278,818211,686033,387850,302772,233997,451971,703154,389063,304534,249194,441287,892559,424016,324152,261316,535853,816603,431960,285158,281846,516925,722904,360297,310531,258959,470345,919746,476639,389572,348135,590718,991636,524005,417308,361417,651004,1052802,619908,478006,399909,744905,1003584,555532,459537,405571,652608
BR1 3,1041147,589639,497904,326397,460131,999060,629654,496768,338610,458369,638072,350183,291611,192905,255234,1070333,720762,516483,331896,493252,995733,694875,510268,350402,487411,475893,360010,284929,205009,258264,1362852,807244,512852,347415,527187,717500,761858,545355,308956,436975,782833,420565,299773,211000,308026,667000,398120,294974,215112,294785,796000,474947,322104,216211,293101,763396,391965,300547,191337,300851,657826,422548,294176,200453,302442,874929,492911,378397,248213,357310,1196810,588376,474595,290879,432463,917167,675558,533230,359968,447487,1102900,658481,582116,366506,460979
BR1 4,663392,539686,375085,293281,423306,677300,565671,370906,291038,411219,430677,315350,200306,169200,226504,890864,636028,422276,310540,490946,665042,627850,394374,282977,459387,525541,305498,229129,188206,247619,921300,630436,462898,314648,476843,775717,697285,432744,269790,511226,471182,397492,222569,187143,268684,536905,328641,232263,194703,264281,606905,410274,250711,187237,298008,530507,336182,234583,169571,285265,493333,338154,216815,182136,257704,643548,456857,284321,218787,333434,712142,494715,327641,268264,371410,744050,610648,377477,317416,421878,767836,573581,371503,278928,412248
BR1 5,430000,469413,344459,262583,357380,558167,465810,343291,234045,360938,355500,236572,191703,138446,193900,585000,503491,378331,243269,404375,572333,502516,377760,255545,404248,554000,275100,210429,160229,216766,575000,549565,425933,289071,455622,783333,512523,416017,278200,440638,490000,270699,202078,152900,222930,376389,280402,210697,152722,223817,366667,321427,219271,165246,245787,483250,265082,196040,136875,221046,395000,249729,209894,140450,214393,402000,331443,262175,166061,270800,383125,391234,297866,213630,314551,616249,452169,356583,248496,370622,595000,447940,341450,261088,365612
BR2 0,890722,629422,497305,333817,504588,956812,609544,496171,330138,488442,543158,343510,296470,195683,281922,904405,697134,544921,345107,510014,910797,665449,518877,343848,537789,608810,379469,270537,221274,294470,985333,783216,574160,351284,526272,1010539,657739,564532,334281,537345,603574,417371,292767,222807,319063,600497,360717,278528,214898,297664,619415,426742,339321,225855,335233,584392,399382,287738,224406,306176,586529,369714,279633,220191,309017,710884,515230,421154,267055,384767,794119,546484,436762,295727,422525,850074,653970,500539,347427,517309,761495,642526,488241,331111,449588
BR2 6,1392655,740000,468400,868275,1164009,1127740,575500,472000,436667,867071,892630,350167,237372,465214,704640,1466101,831600,435000,803167,1187258,1227375,665000,411000,519000,1026667,655532,354000,307333,462974,504048,1548100,682500,559083,682000,1155900,2063278,632437,485000,515600,1484815,1014628,412000,279333,458333,805926,1204949,361586,286800,496818,866482,1040920,379333,262500,372875,858162,1170776,555000,271247,826444,1024833,787521,516372,341375,232500,672646,855896,600250,455650,483944,734614,1151707,519400,290000,408400,951672,1126119,595833,494375,609375,911145,1032364,579714,390714,647437,821785
BR2 7,723667,582833,474545,435000,595605,820620,590412,416250,251375,606428,538375,330480,228268,170000,345829,811524,657578,513341,364000,607676,772455,617355,460025,284333,586376,499284,346188,257125,199281,343951,916083,744530,626611,375208,703284,983125,701461,536283,691166,719771,512430,389849,290375,195590,381764,511375,350830,274794,198911,349323,580545,403247,331532,203136,408180,551133,361517,246226,262681,357993,488783,363053,256640,369556,377470,672271,477420,373646,303675,487226,732458,532659,349333,303423,538335,913028,591113,440761,422497,583299,881881,598341,603075,437087,637009
BR2 8,577600,495076,406351,316152,453467,733403,512778,404461,220262,499282,485075,292510,248768,148792,296381,847183,552592,453543,294710,544311,643288,536310,437871,231306,519010,391182,294729,247879,151866,266839,867416,609674,500380,316625,592931,938208,642000,486077,345667,652642,510743,313447,260833,150825,318121,468403,298208,256112,168930,294544,498636,332740,286845,188475,330329,517990,310551,261916,178909,324309,514416,313469,255823,135035,315130,595264,412576,330794,222282,385056,625921,439815,369416,243812,422602,768289,514308,405214,264911,495788,693519,491250,416432,263057,474335
BR2 9,750415,499805,451189,317071,434290,678433,515419,444029,343124,418986,576900,291855,235273,169450,260014,872538,582320,497005,333397,483156,779113,506726,474319,346020,466331,532684,298626,271947,184120,287959,1015773,623066,543377,331258,524103,933984,622190,533033,300837,526137,549050,345974,310110,210425,292676,485676,307458,267461,218912,283181,609937,371440,323639,219980,311877,527742,333016,278620,182435,292822,463071,306945,261435,183083,282491,600464,449929,385446,242788,352904,658235,482695,403988,271190,356152,771426,505628,447533,288260,441227,804816,510100,437302,298720,414492
BR3 1,919200,854907,524562,318662,463946,1087769,782752,572040,318308,515760,548400,415656,304791,203188,263244,1029731,914062,563360,354589,529780,1084889,895778,595340,341737,531829,654000,465526,316000,219349,282754,1417667,944645,707717,353249,553817,1025250,906240,738750,345944,520253,686800,516979,371635,220312,320673,562646,483683,339089,224094,279461,620647,599135,394652,234767,363766,735000,477565,343565,206890,290828,520750,456449,338925,213600,301565,853927,659535,538728,272952,395520,926717,727560,506083,307816,524095,981663,767081,593750,343011,523951,1033889,770943,533615,338921,448506
BR3 3,995500,652630,547028,429107,599697,1104833,639164,527165,576818,615212,762211,317012,304018,233049,374099,1199001,686052,601040,348072,678001,1124549,651984,539060,490416,651178,825231,373753,332921,336176,410933,1131071,775100,657612,377767,742779,1416500,738033,680514,399000,796818,806571,407606,352246,323616,419297,776776,379818,345773,264606,418668,693700,468741,387611,418871,437020,918870,438005,340050,251714,449563,815350,395927,335594,341133,418516,995937,530259,444081,367274,525562,980926,613743,488253,369831,567808,1137381,678847,539820,450650,657158,1166020,652446,542575,330444,615462
BR3 4,1195000,617186,511000,293331,454287,861714,600370,519585,320507,478283,707750,304495,257886,177298,247167,747727,687503,545621,315563,505542,876667,609370,523742,333481,475483,540278,335804,281229,187375,268115,765833,707889,599927,316518,524937,1208125,772516,569021,308549,542355,585570,399591,306670,185987,287317,534750,333547,287968,195408,266590,572100,414294,343740,199716,318041,541750,382732,291967,177150,277649,580000,363894,298296,178719,293757,571000,480519,414710,243280,358401,1065000,575566,452153,277139,409910,735000,655453,509836,304745,480334,669279,593766,478322,298917,438273
BR3 5,968333,850700,592500,387600,480766,1065550,871500,627071,376801,473609,604206,450750,316940,215151,273662,1154203,666357,770587,391664,502300,1025769,759750,633292,369937,465998,688222,432800,327715,245876,297752,1662222,676300,695582,379082,500039,1138750,932500,615909,368291,482108,716417,467000,536653,228548,321156,710643,458222,347615,234276,277436,781454,601429,412550,244718,315376,670400,416571,472611,223950,318522,675125,480227,349473,227488,290739,1075000,632500,541768,304147,368198,1136250,597055,507403,331418,418313,1011250,692278,532475,364150,443855,929773,671773,582101,351962,450836
BR3 6,953565,719750,570515,411973,632497,978761,679583,591667,429434,634638,610211,443538,323125,228754,377476,1043256,864500,675964,402903,656297,1101222,720400,565562,359322,676709,649506,469215,331000,240166,417119,1249481,769383,716154,422800,805367,1206841,1066389,879000,422771,795171,794250,450565,441000,262424,423344,656560,491255,366909,258870,410586,750141,598682,406091,370497,541633,639904,425500,434458,248984,439624,706413,517197,455330,232673,417678,868311,726722,493077,358760,593250,951759,684279,630747,339247,560524,936750,774545,605606,407505,635067,952500,808000,680000,401752,638199
BR4 0,811269,598222,517152,218588,543284,753321,597786,505395,246750,549438,484846,334703,295741,174066,312611,779252,663702,575206,241179,599311,854318,625890,536435,233312,581144,429062,352037,299772,191947,313349,890930,754746,613326,270458,674308,939667,712963,618917,261400,650752,538428,427014,340103,191288,380850,496897,385092,319018,197407,367014,529639,441749,373048,165605,384615,510778,397105,323419,168370,348207,454000,383110,313646,162879,331849,718996,534983,429232,178164,452993,670255,554905,461896,228452,488314,772895,662450,541280,233045,567764,731117,618603,504565,389522,495808
BR4 9,748672,577984,443111,271320,532045,753817,593320,487000,198798,540507,492497,338625,253750,171268,313599,862647,652189,417000,270557,640270,749402,604224,477000,258684,581734,528071,358622,267500,228947,307170,861075,710868,549250,255957,648519,874412,662027,648500,299042,651590,583750,390669,315500,192275,381175,496306,363642,287000,168243,340983,550325,401807,323100,184981,375673,476085,366882,292500,170653,350079,505624,365554,280833,186853,350901,621950,481152,297500,251913,456976,639140,531413,349167,231803,471745,777390,574535,389167,245878,534450,731358,571734,396667,257686,526912
BR5 1,804571,619841,488667,308905,581210,786113,612003,451433,306457,595113,497903,337153,268324,161154,357113,963366,695591,518990,303486,716409,864000,642987,476375,319388,633268,506112,371379,280893,179680,358544,996862,753423,498458,353835,706291,1101762,684413,535833,316150,725079,638807,410091,264630,185054,424274,544396,368067,272114,197598,389125,595822,411529,274054,200325,427141,574010,393771,260917,190161,426410,548389,377502,271556,195362,397400,643532,490048,372917,219731,483791,669030,537772,355250,256560,511545,856760,603220,518278,291216,629247,817078,583348,457700,284250,595728
BR5 2,470765,383684,319431,219270,351603,529353,375508,330106,231500,353161,332200,201504,185085,123027,189192,572727,441035,378101,230146,406389,533893,422835,348917,208842,385433,340000,225895,205219,153235,203456,711687,472119,392183,263667,446265,657086,447845,399047,264341,413106,290964,223533,189062,131417,213645,348199,229154,198507,136479,212665,324708,241277,201716,141433,223241,330310,225621,198652,120045,218624,282599,223689,186415,127889,209207,483071,288147,263484,162733,274841,409746,323312,268816,175991,290950,525500,363008,325152,238982,337857,474900,352835,332715,209742,335478
BR5 3,541667,346689,297841,194533,296605,572500,334165,331558,196463,319301,227500,190726,163921,127015,171023,649900,396190,328955,222485,356283,571000,367352,319486,178793,304161,344667,208980,187869,147268,194553,680833,403795,352950,228686,363196,550000,444339,352172,277417,375988,423600,211322,169669,127786,193516,363374,205267,188742,131792,190797,297000,224061,198473,142079,202717,265000,191235,171948,120083,175904,422500,203373,168966,136312,185802,433125,247687,224964,184862,223074,446710,279676,255358,209279,264924,406500,350519,299557,198198,306476,558500,318354,326857,217161,308413
BR5 4,502643,373598,317543,220111,349711,482250,363688,303363,207020,329010,268333,209096,175938,145972,187368,562778,419617,344717,235568,385377,486231,387593,330767,216604,365888,333199,229130,207367,152060,212034,575833,469415,387336,217767,428281,562857,454033,374146,294583,428274,317682,236377,207791,143444,224075,281872,232578,194167,149334,209572,332192,240074,208838,133812,224325,421611,227450,180269,129365,221282,341158,220541,190557,132222,210639,390457,284402,235247,160321,268031,401622,316797,269724,175518,289051,461154,361819,322254,225430,342322,391945,346661,316012,192650,323646
BR6 0,786143,508417,421537,360341,460676,781892,524064,365666,302588,484805,440250,267204,196682,163747,237124,907893,560187,381875,312424,550601,738880,523000,375907,282028,465832,510020,300261,235159,177216,301386,959505,591875,441890,361310,548186,1012917,638656,423231,338960,589995,505367,288528,230740,170500,311583,483074,318355,224593,179018,307993,592895,323768,230105,196638,337946,504444,306089,218241,170290,308591,521732,310351,248133,195096,286857,641749,380191,273939,211155,389161,646072,425307,315065,274297,419402,771259,495268,370792,278137,418923,717826,476727,358867,274640,418039
BR6 6,756350,528335,413650,289250,624766,791860,478318,418583,238600,554124,489179,273145,219333,99000,341514,716152,553902,437845,259917,556863,814680,528135,421119,246937,570825,495386,300364,236265,176375,340639,827105,587114,495667,294100,628163,823981,560417,439073,295000,588014,550453,322914,248433,162067,376686,521412,318982,239100,156391,332015,642289,354547,239305,188333,440134,646250,337752,245328,196300,445582,497826,305577,244526,151000,335125,785814,400570,286111,214857,566179,763453,446136,362048,220317,597279,768256,512413,395482,319750,592281,723229,462548,351605,254635,515699
BR6 7,740671,574029,463558,346944,547650,756431,526406,477583,318000,533881,555095,283288,247498,176125,326044,767199,554414,439347,284430,543000,719794,557583,486556,316933,565333,520107,310420,274512,211214,334727,927252,588939,470000,310857,607476,965369,619372,502769,336182,675191,528518,336192,319139,193769,374153,662278,317879,253649,192655,379794,508224,349771,293055,207274,375860,520892,327116,309958,191714,379932,477250,307900,247068,178577,341063,667634,390436,334168,228366,459507,746771,463051,350480,287791,534372,809028,499459,396880,354000,525692,645033,473766,427615,279750,491973
BR6 8,861405,568790,405833,268785,615217,833667,539069,383878,265300,593902,770476,301155,229712,167121,429524,1355435,615481,441404,267250,886318,1022651,538375,437875,305862,690736,751650,315981,241611,182814,453933,1883438,706425,488592,320000,1097343,1144021,682000,473125,233136,760283,651941,347181,247765,168750,419898,726199,324347,257412,184208,472697,907700,349155,254692,191566,559455,647885,312968,239033,177033,414128,899145,350544,257575,168235,499969,772500,427841,313379,218523,530091,1026210,488127,341804,232650,647232,996583,573972,407137,287204,708369,972207,509971,371976,245909,668411
BR6 9,637123,523945,448447,257833,525430,576119,507729,412499,249583,488115,345701,285609,241942,177500,282712,710179,555560,468156,274455,552825,662216,519187,414367,296292,511230,391966,310012,259345,176032,298308,725785,614617,497517,306789,591740,719524,610408,490333,271250,625613,374658,309039,256776,181333,306280,399528,302160,275820,171088,307409,423609,326833,269706,201522,329793,413805,291754,254700,177762,302553,400174,300043,242399,169577,308009,489136,393784,319434,217469,393080,542856,417702,355365,233754,431908,626110,499429,440325,283594,496372,587655,473816,392739,274244,470514
BR7 5,1050893,703600,586679,474517,696873,1075280,767550,667228,446597,731416,783797,346389,457690,370596,574324,1255506,801165,627253,486366,848826,1153085,628533,647483,412118,797916,832753,561300,323737,294948,512304,1415660,799769,656569,429906,835943,1479115,658000,675674,409550,827420,796135,452329,532700,284217,563766,827423,490106,370575,281684,523536,867301,561884,409958,255475,497720,768743,508842,470688,204744,521166,860898,581041,369313,299427,520632,1064042,506212,511706,312503,588051,921561,619124,498715,336392,621771,1159231,602182,644529,445444,728126,1086153,809366,554570,364932,681661
BR7 6,1079862,515983,476103,366548,588588,1022008,545978,441552,390212,612806,700250,282582,259794,178633,341311,1023202,593903,510279,420458,639017,1023048,519150,493902,310379,587994,688419,321964,267950,229598,363802,1139993,663689,563351,397481,716119,1021769,630543,551500,364714,646995,683792,307238,298081,246677,374653,798708,329197,277636,240026,390689,821426,371859,323805,270356,435556,865685,309188,280198,359677,412583,764217,314514,290082,198085,373601,791455,406395,382247,238153,448689,850910,469365,428167,378121,502531,957903,546214,470854,344988,576003,923818,500500,453865,360068,549838
CR0 0,0,333858,334867,245600,327618,375000,327827,312054,214714,312426,0,186157,176183,131645,175332,455000,375297,359434,235346,355132,0,346218,339810,244692,327778,0,210317,216663,151822,196713,0,412383,386655,297000,397683,0,384881,398111,260625,376291,0,197930,180722,133583,184188,0,206842,200531,159106,194925,0,208068,202135,155139,198730,400000,196555,171814,135125,185407,0,197851,184417,140773,185259,300000,242183,245030,180572,238836,0,284729,277926,194232,267031,0,336292,319783,244306,322170,0,313182,314640,229184,298491
CR0 1,835000,448333,374302,316655,336421,350000,431773,377431,330012,342079,388250,256833,216896,165072,203548,515000,400125,389216,291926,333507,470500,566250,341447,330622,344587,453800,270775,219661,185469,215424,517783,483768,410179,292874,346338,770000,474583,398661,292881,340503,250000,236320,209884,175933,195548,383255,299657,226456,170653,203037,330210,250667,220635,175980,190919,360000,300423,200601,168701,199249,442200,211636,219040,182670,209444,581250,350237,288001,214344,246822,394167,357422,306277,241780,266139,0,431167,362227,277575,296250,485000,459570,356327,268731,289703
CR0 2,490000,397500,339477,279749,298347,490000,371850,333085,259142,289444,470000,197750,189543,139703,154417,475000,433000,348924,286521,312419,0,354333,368204,315808,328288,368125,289512,216279,184268,203148,350000,451696,394464,266244,311401,0,471455,365024,277772,309996,500000,189000,199782,157792,174567,377000,256241,222448,179172,197631,321000,222975,204743,195768,200973,323500,202250,191345,155216,174203,320667,276893,198201,140678,166239,371750,317136,257627,220375,232161,378000,322462,282866,248161,259249,567500,389744,337900,346978,347697,659333,372335,334958,284193,294774
CR0 3,0,351861,341026,205659,322387,420000,367605,330445,326802,333355,632500,207167,181855,125471,180679,0,381714,361460,287526,349399,325000,340370,340589,317855,332345,0,230361,212298,157584,205260,483750,425364,385297,241278,370525,0,399187,378693,253000,366783,0,204353,183542,125015,179986,0,230460,213603,148238,204943,265000,217451,204391,133806,202665,308437,202385,191650,134905,184276,280000,202233,191341,136600,185972,275000,257886,243988,160996,233911,0,302654,282342,198626,262000,0,355967,337892,233091,314106,0,345444,324921,202912,307146
CR0 4,490000,438010,382662,244591,343159,450625,423170,345508,248585,325367,334987,236216,203042,168776,205239,538917,479794,403185,275055,382617,395000,442362,363190,272279,340614,326158,272433,218990,159027,209478,533750,499736,417347,258677,400301,548333,525290,407147,255390,385169,346158,245969,210817,135511,206782,406300,261001,222921,167848,218070,304250,269951,229142,196316,219594,329890,260916,199690,164054,201251,275487,244358,209883,192509,204814,404000,327902,264338,202827,244700,417494,368192,316052,258989,281892,449000,438703,353095,254989,322592,518333,397704,339267,247565,297930
CR0 5,874977,605667,475902,296624,491403,938742,484950,474672,303789,493234,608850,295208,245970,186849,333471,1066568,574180,499047,308329,526345,940985,570300,486275,308937,557782,636543,359135,268197,193125,318929,1078338,652978,523103,328166,557045,947324,612150,514349,294894,525611,645362,368769,273636,190762,292414,584585,360219,287369,200951,308763,627281,331503,305562,198716,296612,626259,312550,278471,193414,310638,704893,350406,300652,194342,323056,613788,441746,357619,255477,346837,657080,446775,416140,267515,376598,845541,516875,504699,293555,457547,922060,507333,456340,303112,464763
CR0 6,542000,454223,398654,313127,370002,601875,408248,399569,271715,359925,242500,242822,216949,159656,198253,614215,449637,424749,273622,373034,588750,437648,412521,276337,367888,423167,275572,247815,166661,221368,556000,493353,454017,281869,393276,648125,504570,437959,267109,385674,459167,263860,233681,159487,216409,415279,290670,248116,172618,223508,450411,261467,247922,176154,225133,398400,254047,224676,167753,214162,450625,263371,216233,167138,210160,582996,356261,294761,194958,261834,488408,386235,341627,224790,299146,915000,462933,412475,347394,367368,391667,425719,391761,292772,347309
CR0 7,555645,500932,432554,328058,452419,563553,469666,432490,332624,430359,312259,260589,235746,189277,241278,631134,535033,480445,332460,477331,595100,457147,446419,322108,438898,414628,300219,267780,203164,287155,741150,553037,527038,338893,513209,746653,514574,476327,319639,478803,408315,302795,259284,182152,286356,448863,318303,267116,205466,279108,386281,313255,287480,210542,300750,347294,293400,264076,203644,271305,382728,295167,266363,208436,280054,477402,390444,345973,240340,349865,463716,415628,371941,249836,372230,602059,467650,432002,309263,431020,515031,463090,396056,290247,391316
CR0 8,568136,534524,446413,314506,461070,541125,521945,406397,289210,448202,357492,297657,233107,147163,263251,588978,554673,426895,254354,486345,593233,544574,413960,272966,476870,359794,332513,235497,172852,280143,643923,619739,502619,276920,535364,591962,633412,463571,293638,510828,412881,340267,227211,171563,298842,406345,347072,285966,182107,301074,417100,356193,255337,173663,306621,374735,330531,244127,171120,287006,366740,335000,259651,159808,285114,468667,427537,309754,205385,350264,508110,464995,341300,221255,391151,609306,530385,374363,251442,464479,579525,506956,370235,250588,421607
CR0 9,475000,438429,335669,236013,299736,638500,385889,324065,228482,288210,291550,240583,188533,173978,179903,461400,459000,339086,230562,308243,0,414667,331929,235257,302116,1000000,235780,219202,157656,196074,518333,431750,384051,239314,328333,432100,563071,372013,237500,326161,429167,311692,199067,157897,203948,377800,268033,213214,151602,195779,420000,307883,218522,152794,192275,583000,256111,187866,143926,173593,362500,278346,201125,166008,198504,407500,334772,252459,174123,219501,510000,418450,278889,207823,251935,0,443687,328624,242935,288219,0,404933,322768,262609,290770
CR2 0,764601,596052,410286,252391,558412,659113,564167,403136,269000,537446,487847,315276,223094,160457,314553,806126,580986,423058,355182,555736,724981,589175,382237,302512,514826,484765,393450,237600,184953,347507,912783,683276,445602,319792,613129,914140,627367,456152,293795,585116,497826,360836,247270,174015,359015,474649,367723,238568,186835,320471,505220,389426,236733,201305,376001,508689,367328,244324,159771,364821,474959,366627,251700,169794,343147,596369,452060,315729,251297,406389,635589,525208,324750,238375,447164,706012,585342,405583,289724,536376,708707,495187,420781,317265,502063
CR2 6,598705,435327,375960,283584,337302,623889,471224,381499,251241,340069,374056,266831,202528,150876,198538,731800,475616,401990,284232,374608,455000,465456,393328,277453,343294,363167,302448,243032,174941,225318,772889,490298,434365,283007,380432,703000,481338,426707,312084,373448,406324,279310,236831,173434,236171,458205,280930,245946,180275,225902,453267,300947,261209,174756,231983,458500,275582,224935,157631,216486,498328,287616,222003,165032,219031,497727,362361,294456,207428,253034,502571,411125,334864,228587,294229,576667,442375,377231,264260,336584,560577,422419,378347,265369,328347
CR2 7,763091,554237,335368,298488,456510,751262,523522,408633,293601,421482,433977,329748,184321,171687,246751,885219,566303,380121,334515,452203,696559,558440,418641,342943,424658,575045,330543,230675,205331,283395,777453,649983,470389,304610,439949,885084,635333,468375,284740,477909,484896,337409,212787,170714,269357,551702,329679,224039,191035,258789,527193,336079,223426,192336,289026,486889,321707,201667,169539,287380,473333,343126,212788,184164,266604,641288,431436,271012,217443,324444,617007,439158,310871,246896,362112,771048,526135,362781,300868,414619,756889,512107,333167,259416,376155
CR2 8,599372,464877,380400,308147,444216,585632,451360,381317,419440,445167,352130,260313,217560,205124,256602,678060,494011,432784,295178,474067,616517,484876,388373,360041,482351,435306,300327,261516,168917,297640,668417,555304,441913,329353,507281,738667,545564,428406,344441,520063,395167,301684,239060,211917,287059,386082,288919,238162,187265,267970,476680,307680,244587,203889,314055,486714,301297,242020,177781,276974,372997,279888,238050,190727,271323,494419,338319,298799,262258,334370,530594,394525,322742,234843,385610,680289,458463,379969,292297,443809,631710,426828,350083,258282,391107
CR2 9,679138,504731,514300,315617,552933,630952,489912,472917,297500,517396,371068,282548,239797,189375,285474,692619,547906,439071,350500,539008,626160,504414,403545,278250,511280,485035,333457,285437,185575,352372,774700,587782,451000,329682,587072,707273,573187,518143,405000,586189,439109,327937,244085,205900,344114,432788,320497,289136,200496,332809,481604,344074,298045,220410,368596,400138,292375,280367,203500,319253,418685,309416,250167,175247,320521,493902,396563,292083,312137,389379,542730,418938,346750,250437,442095,619375,511316,425222,241275,522620,627000,467706,439012,222625,509356
CR3 0,412000,484714,0,0,458273,468333,530000,577500,266500,478885,303333,286917,269000,0,286542,573000,493250,520000,372000,514583,513667,493375,447500,200000,470214,285000,215000,250000,0,258750,638750,605667,0,0,613937,539167,528375,0,0,533000,303167,301250,0,0,302071,316300,286989,0,0,297457,316250,280667,217000,0,287818,355250,258125,0,0,306687,303900,283500,0,0,292773,397632,357181,0,0,377407,480000,413883,0,0,424903,463333,446875,0,0,453929,463250,453000,0,0,458125
CR4 1,0,416667,415898,270786,377368,497500,422500,398436,262145,367435,175000,216863,208704,136631,195480,0,482002,445099,296260,408358,550000,426214,414209,254616,361134,0,254925,237805,166376,221774,555000,481267,465821,291981,413733,570000,449583,488125,274413,437788,250000,247897,230417,191898,211989,0,247162,228825,154921,207596,260000,270585,247076,178393,225479,0,246231,216619,139320,207131,0,242934,213949,154269,203033,406250,316031,296366,196459,273273,277375,333732,334556,224773,301736,428000,424958,380216,261692,353555,0,398155,362315,272194,337903
CR4 2,500000,471000,444077,338382,402999,500000,472857,452985,307052,412117,0,277431,223851,158600,210626,0,495000,519511,333848,447425,0,490000,542928,397559,462093,0,254000,259331,174317,219352,475000,601667,523381,378147,457054,472500,492483,522995,324812,441865,315400,259490,256849,174993,228055,407500,276640,264263,196673,236511,430000,298667,268111,199062,245432,0,253600,238706,165876,214697,292500,253146,221898,174012,210096,675000,332208,369957,238287,317875,443500,461000,386973,280840,348569,600000,350000,494096,331516,419484,525000,345000,467198,321035,407375
CR4 3,0,368000,413503,254646,340528,0,467083,428178,250190,352935,0,220779,200721,131108,175019,407500,467229,459556,259571,375699,520000,501875,413745,261378,354702,0,269596,243256,155570,212127,670000,512000,495068,275976,391598,0,534500,470640,269867,382354,0,265812,230917,151609,197661,284000,255435,233734,159591,202262,291050,283743,267884,164682,228974,289500,217583,226521,144286,199169,296625,261996,222792,149455,211786,465714,363292,333737,189132,273812,525000,354632,347833,221273,290692,652500,426375,432002,244659,349535,395000,408667,385349,248964,323932
CR4 4,400000,420028,445486,249110,371074,550000,381429,376380,240330,304538,202000,305765,211621,140326,198606,568333,491354,428091,263770,358508,557000,486600,477939,292731,371417,255000,218390,240673,174773,197167,492500,549045,446814,254074,386845,582500,514300,445379,267900,382177,313417,264850,236089,154497,205045,1180000,296573,236445,161027,211036,232000,278806,257391,151047,221734,211500,234044,208075,135980,179847,0,277170,222267,149174,194993,639000,308385,313724,183768,255330,443750,339222,336807,223116,261069,530000,402091,386297,261089,306256,355250,367833,383583,245704,300735
CR5 1,597661,478087,381182,243708,482792,577007,457838,367213,239003,455883,377927,266980,233071,118000,293304,658712,524613,462968,301713,522013,604010,494326,442500,227537,501780,406407,313486,239267,141417,291276,633051,555198,503722,298811,533717,661009,552976,542000,260583,573145,403053,307133,254321,154586,318293,417730,308132,256688,156542,305862,404740,326398,288066,162727,324680,374638,298693,247440,150769,291641,370720,314856,236033,141840,310284,474014,376662,302682,162813,364277,517458,415891,321442,188727,422831,583565,467074,396265,219620,447777,554922,446954,387735,242166,434299
CR5 2,728243,508616,379542,228066,506424,641921,508928,354571,246658,487113,399062,276690,232644,141443,278635,700392,564885,450352,313026,493125,654593,510152,401991,334623,458525,431811,334214,213599,162244,302261,767811,641243,466088,341455,566600,783326,624437,474312,263091,557648,461891,327177,215479,139111,333227,464285,320264,253536,175258,328647,452372,344547,257462,161082,326924,462481,313058,207316,158385,309679,479250,284561,196167,138197,299293,509814,396180,279935,178835,348370,582292,458817,305202,239196,413069,612755,499300,381250,255978,457802,621807,465751,338500,238857,426341
CR5 3,686649,538297,391499,329812,518770,672780,543997,405063,295250,557748,394830,254943,217818,175500,252731,676221,516398,433799,411269,513765,704906,519402,403043,265000,543951,539132,308161,245944,151875,315702,945400,566449,461865,441194,593016,742857,601078,480464,277000,547175,650278,305355,263030,184000,334604,527075,323589,262296,341500,335287,524958,335904,268331,215000,350016,586667,278496,233620,184000,316463,567389,306182,247171,158500,312735,598390,377176,309869,225142,358736,720500,403731,331863,237786,420598,614034,523677,401823,278772,516724,600402,460702,397764,267000,510160
