postcode,detached_2018,semi-det_2018,terraced_2018,Flat/mais_2018,average_2018,detached_2019,semi-det_2019,terraced_2019,Flat/mais_2019,average_2019,detached_2009,semi-det_2009,terraced_2009,Flat/mais_2009,average_2009,detached_2021,semi-det_2021,terraced_2021,Flat/mais_2021,average_2021,detached_2020,semi-det_2020,terraced_2020,Flat/mais_2020,average_2020,detached_2008,semi-det_2008,terraced_2008,Flat/mais_2008,average_2008,detached_2022,semi-det_2022,terraced_2022,Flat/mais_2022,average_2022,detached_2023,semi-det_2023,terraced_2023,Flat/mais_2023,average_2023,detached_2012,semi-det_2012,terraced_2012,Flat/mais_2012,average_2012,detached_2007,semi-det_2007,terraced_2007,Flat/mais_2007,average_2007,detached_2013,semi-det_2013,terraced_2013,Flat/mais_2013,average_2013,detached_2011,semi-det_2011,terraced_2011,Flat/mais_2011,average_2011,detached_2010,semi-det_2010,terraced_2010,Flat/mais_2010,average_2010,detached_2014,semi-det_2014,terraced_2014,Flat/mais_2014,average_2014,detached_2015,semi-det_2015,terraced_2015,Flat/mais_2015,average_2015,detached_2017,semi-det_2017,terraced_2017,Flat/mais_2017,average_2017,detached_2016,semi-det_2016,terraced_2016,Flat/mais_2016,average_2016
UB5 4,650000,452390,411175,292966,399024,472500,438418,406356,275849,389867,0,244867,231187,151024,212093,820000,476162,450516,288950,408724,825000,441611,428773,274409,397137,280000,274590,244389,178198,231014,0,519056,454219,302682,413651,630000,522611,493437,283932,435697,440000,271556,251664,157379,237337,328333,257901,247267,167381,222829,277500,288751,264990,183086,244682,316250,264835,247346,161662,224982,320000,262541,245972,170871,232610,370000,338635,312837,194698,274594,0,386274,339852,228403,327375,700000,458649,426502,267459,403322,428750,418745,395743,264613,361696
UB5 5,495000,443879,418412,250091,363627,507333,444750,395778,250040,372149,244000,251015,218672,149246,209504,568333,496456,463141,255267,418487,0,460966,410250,258997,394688,567667,279856,251110,169468,231597,692500,530597,458400,266378,425432,490000,528847,422969,265941,416078,440000,265958,231706,158972,217246,390000,277531,236676,158539,216658,630000,297412,252714,153396,238629,275000,257613,238229,149292,210019,277000,265484,227429,155955,217440,400000,362364,314144,182154,274849,379000,374794,343361,209778,302464,0,448696,403115,264420,343391,435325,457111,372516,249710,335004
UB5 6,0,424785,335925,252983,317163,0,425407,357024,235378,305215,219000,245061,214825,155150,180534,640000,461012,389145,245340,355423,0,434150,377919,220995,289091,0,267673,239566,174807,200272,649000,499626,415738,270371,354923,0,475906,367071,265687,339745,0,254945,223696,173599,195240,338315,259666,225487,172648,199394,0,278656,247031,170697,205293,0,261593,231405,144146,192090,177500,259108,226765,152398,193974,385000,321804,273979,192004,232731,0,351697,316112,217578,267121,515000,456690,367443,253287,312987,0,406466,371534,250962,308210
UB6 0,0,493704,463946,371694,430536,425000,519062,480287,231357,453723,0,278607,243910,171693,227358,603333,592214,520047,399512,513959,0,568947,478125,251841,480148,285250,331653,280463,187325,279414,492000,616458,516633,447852,501233,570000,604536,540750,389100,540168,0,314850,295624,187963,279320,334167,333399,273159,182684,271015,593000,359398,306437,169389,311001,0,325059,269036,162300,266899,430000,289966,276311,158808,249919,0,451795,356036,212159,342594,340000,466059,412735,211925,391011,0,570556,452133,357904,425696,545000,487888,440727,246600,410348
UB6 7,0,476000,479718,317077,378821,500000,494375,444591,309000,424162,545000,248973,254333,180331,246848,770000,565556,517941,286538,477105,0,558600,440012,294556,423357,0,312083,299808,208741,275553,0,563812,537779,270962,478499,0,598750,514500,300000,491848,0,325562,286996,190761,254710,415000,356389,305314,230196,273234,0,382408,306826,189036,287226,382000,314437,265721,180500,258697,405000,302211,277120,187972,262626,0,430625,390337,264443,362478,0,528600,421468,245062,379889,0,509000,478718,275447,414740,750000,475000,465167,309538,423488
UB6 8,450000,506593,456195,363905,422107,595000,485910,448048,298250,429906,500000,257839,259259,165260,235246,722667,547081,498202,314984,470633,890000,504365,499935,283750,462208,425000,301276,274369,190967,255379,562500,588406,533738,318241,470664,0,558594,516748,277875,493758,323000,307828,288666,189586,264549,498500,308883,276151,184249,255336,0,328172,304930,194684,288461,612500,311152,282303,181545,272584,290000,302066,275367,171805,253046,747500,384351,363830,258410,339428,470000,457141,408514,246530,369581,0,516570,452192,285874,440704,450000,476000,462351,260908,384981
UB6 9,525667,430303,446160,296239,401598,488250,478475,400547,311043,401993,258737,271642,253738,177867,237465,602417,514995,491781,289561,431487,491143,501613,431039,304605,433211,267500,304020,266286,219582,246960,642500,586000,535383,328527,456210,583667,587471,495000,298015,451805,322167,302009,254409,188793,255218,379857,282286,270384,185775,251004,376778,330558,284174,215175,273446,349687,289021,267436,176977,250685,374357,288426,257046,177154,242976,405389,369033,330415,231492,305780,387517,397470,381098,251279,344401,522500,497796,429322,306415,398701,566500,486300,427899,293031,381881
UB7 0,560000,411667,395667,218062,350386,415000,357833,335000,0,359750,250000,297500,187500,125833,205278,655000,401037,410857,241300,368111,500000,361000,342500,312000,375300,0,244385,213071,189926,212233,375000,413161,442492,248357,340847,647000,455000,450750,210000,399000,336567,264651,218773,145187,237680,364687,244261,238162,144995,214454,347150,341250,234286,153667,254997,350364,285292,254202,178586,270868,402280,283273,243021,166507,270731,483750,284833,264400,143893,250287,375000,321886,256237,149667,273477,445000,328250,277500,223643,277036,0,350624,330143,217500,315052
UB7 7,563925,507885,409237,323960,397400,602417,427940,371145,362281,384893,337861,240368,208818,158107,202742,665211,481641,419205,299300,401354,606000,470849,376077,325512,385203,399289,250838,234000,184495,222565,706071,514652,430848,253351,384652,690000,573573,415977,269284,416422,331425,267724,223333,177149,222111,388850,251467,251947,178839,229820,402309,292790,219276,169142,233744,362862,258650,218687,178378,226614,356560,255386,251748,146386,240075,437118,322129,276069,178995,261334,457167,380905,293971,229932,286539,679577,453170,388609,279260,391410,523429,437056,398279,268392,321087
UB7 8,0,434954,352147,236271,369873,390750,402571,340430,197100,329145,290833,200194,185163,127657,173481,571000,448440,390357,215612,327836,480000,458105,366400,236150,369722,277000,232658,206733,161102,208816,515100,452562,446618,235844,392114,536250,468963,402667,212156,357475,268333,238131,217765,165554,199064,0,230262,215437,152972,194581,250000,246898,221833,136983,208775,350000,235517,205493,135332,199398,259667,219523,186182,138793,185860,386000,278826,251432,147958,219334,337083,337793,288392,234650,282542,460000,387067,367056,239273,331774,400000,377300,354932,223772,321110
